가구구분코드,가구원수,가구주_관계코드,가구주_성별코드,가구주_연령,가구주_학력코드,가구주_수학구분코드,가구주_취업여부,가구주_7차직업분류코드,가구주_종사상지위코드,입주형태코드,월세평가금액,전세보증금,월세사글세,소득구간코드,가계지출금액,가계지출_소비지출금액,가계지출_소비지출_식료품비주류음료구입비,가계지출_소비지출_주류담배구입비,가계지출_소비지출_의류신발구입비,가계지출_소비지출_주거수도광열비,가계지출_소비지출_가정용품가사서비스이용금액,가계지출_소비지출_보건제품구입비,가계지출_소비지출_교통비,가계지출_소비지출_통신비,가계지출_소비지출_오락문화비,가계지출_소비지출_오락문화_영상음향기기구입비,가계지출_소비지출_오락문화_사진광학장비구입비,가계지출_소비지출_오락문화_정보처리장치구입비,가계지출_소비지출_오락문화_기록매체구입비,가계지출_소비지출_오락문화_영상음향정보기기수리비,가계지출_소비지출_오락문화_내구재구입비,가계지출_소비지출_오락문화_악기기구구입비,가계지출_소비지출_오락문화_오락문화내구재유지수리비,가계지출_소비지출_오락문화_장난감취미용품구입비,가계지출_소비지출_오락문화_캠핑운동관련용품구입비,가계지출_소비지출_오락문화_화훼관련용품구입비,가계지출_소비지출_오락문화_애완동물관련물품구입비,가계지출_소비지출_오락문화_화훼애완동물서비스이용금액,가계지출_소비지출_오락문화_운동오락서비스이용금액,가계지출_소비지출_오락문화_문화서비스이용금액,가계지출_소비지출_오락문화_복권구입비,가계지출_소비지출_오락문화_서적구입비,가계지출_소비지출_오락문화_기타인쇄물구입비,가계지출_소비지출_오락문화_문구구입비,가계지출_소비지출_오락문화_단체여행경비,가계지출_소비지출_교육비,가계지출_소비지출_음식숙박비,가계지출_소비지출_음식숙박_식대,가계지출_소비지출_음식숙박_숙박비,가계지출_소비지출_기타상품서비스이용금액,도시읍면부구분코드,조사연도
1,1,1,1,31,4,1,1,3,1.0,4,500,60000,0,4,4968138,2845989,734800,59500,263600,113430,499910,81000,100000,46114,142916,0,0,0,0,0,0,0,0,0,0,0,0,0,17000,125916,0,0,0,0,0,0,279000,279000,0,525719,1,2019
1,1,1,1,34,5,1,1,3,1.0,4,190,30000,0,5,4487267,1745827,74205,146750,0,73680,130000,170300,319075,88250,138682,0,0,0,0,0,0,0,0,0,83232,15000,0,0,40450,0,0,0,0,0,0,0,597385,597385,0,7500,1,2019
1,1,1,1,34,6,1,1,3,1.0,2,300,0,0,6,6129518,594445,37673,6320,17300,175960,17267,22183,111833,0,38293,0,0,10120,0,0,0,0,0,0,12240,0,0,0,9000,5433,0,0,0,1500,0,0,96133,96133,0,71481,0,2019
1,1,1,1,34,6,1,1,9,1.0,4,306,70000,0,5,2721557,1029301,17913,2267,0,68134,3833,203767,162333,49430,14210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14210,0,0,0,0,0,0,435500,435500,0,71914,1,2019
1,1,1,1,19,4,1,1,3,1.0,6,350,1000,250,3,2665048,1573323,53345,9625,22200,320763,395000,9000,126355,52069,60333,0,0,2950,0,0,0,0,0,0,7470,0,0,0,16000,33913,0,0,0,0,0,0,458255,458255,0,66378,1,2019
1,1,1,1,19,6,2,1,4,3.0,6,250,1000,250,1,1224755,1224755,47280,0,207250,272275,850,3900,315525,0,77750,0,0,0,0,0,0,0,0,0,5000,0,0,0,52750,16875,0,0,0,3125,0,0,201025,201025,0,98900,1,2019
1,1,1,1,20,4,1,1,8,2.0,6,340,2000,320,3,1416374,1231687,76161,75571,60857,341163,17100,25529,142794,0,155690,8821,0,0,0,0,0,0,0,9714,0,0,0,0,55300,48669,0,18886,0,14,14286,0,329643,322500,7143,7179,1,2019
1,1,1,1,20,5,2,1,4,2.0,6,400,5000,350,1,834746,832746,66378,15140,51780,16652,15508,15140,63968,0,91270,0,0,0,1000,0,0,0,0,6690,0,0,0,0,35200,40880,0,2980,0,4520,0,16000,445360,411360,34000,35550,1,2019
1,1,1,1,20,6,2,1,3,2.0,6,250,1000,250,2,1199414,1187580,65927,11531,47617,311187,55665,34533,88202,2778,248291,10370,0,143892,0,0,0,633,0,4667,1142,889,761,0,39378,15537,556,25852,0,4614,0,0,261546,261546,0,60303,1,2019
1,1,1,1,21,4,1,1,2,1.0,6,370,2000,350,7,2480139,1809109,119380,13017,115830,383333,117,70733,80667,71950,131633,0,0,0,0,0,0,0,0,0,0,0,48267,0,1667,81700,0,0,0,0,0,0,758767,758767,0,63682,1,2019
